name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018
MarketCap,"30,307,378,877","52,874,114,325","56,672,129,422","84,388,021,678","63,869,435,888","74,403,529,771","29,821,856,928","8,935,765,224","2,967,925,206","4,279,180,093","1,667,845,996","2,726,286,724","5,452,573,449","6,693,589,833","7,161,550,121"
EnterpriseValue,"25,383,483,813","49,093,374,456","52,097,178,097","79,457,832,509","59,299,750,231","72,534,166,969","30,187,409,846","10,514,120,345","4,317,535,489","5,604,981,316","2,702,136,142","3,331,658,659","4,703,054,799","6,233,217,698","6,701,051,330"
ForwardPeRatio,,"400","138.889",,,,,,,,,,,,
PsRatio,"4.792","9.384","13.222","19.722","18.664","27.67","19.733","7.457","2.602","4.569","1.805","2.852","2.306","977.56","1,070.878"
PbRatio,"5.299","13.802","13.919","20.341","15.473","60.594",,,,,,"8.126","5.375","9.385","10.038"
EnterprisesValueRevenueRatio,"0.702","4.959","5.313","9.405","7.429","10.922","6.67","2.827","3.147","1.968","1.471","2.208","2.883","1.814","4.56"
EnterprisesValueEBITDARatio,"-7.606","-24.133","-69.016","-151.397","-2,541.236","-84.187","-32.216","-9.903","-2.733","-2.505","-1.118","-1.046","-1.841","-1.935","-2.537"
